date,loc_id,maxtempC,mintempC,avgtempC,totalprecipMM,windspeedKmph,sunhour,winddirdegree,weatherCode,humidity,visibilityKm,pressureMB,cloudcover,HeatIndexC,DewPointC,WindChillC,WindGustKmph,FeelsLikeC,uvIndex,sunrise,sunset,moon_illumination,month,month_sin,month_cos,day,day_sin,day_cos,wind_cos,wind_sin
2008-07-11,1,37,24,30,0.0,10,13.6,255,113,30,10,1006,0,29,8,30,13,29,8,5.65,19.75,20.7,7,-0.4999999999999997,-0.8660254037844388,11,0.7907757369376989,-0.6121059825476626,-0.25881904510252063,-0.9659258262890683
2008-07-12,1,35,24,29,0.0,11,13.6,302,113,37,10,1005,0,28,11,29,15,28,7,5.666666666666667,19.75,13.8,7,-0.4999999999999997,-0.8660254037844388,12,0.6513724827222223,-0.7587581226927909,0.5299192642332047,-0.8480480961564262
2008-07-13,1,35,23,28,0.0,12,13.6,298,113,43,10,1007,0,28,12,28,15,28,7,5.666666666666667,19.733333333333334,6.9,7,-0.4999999999999997,-0.8660254037844388,13,0.48530196253108104,-0.8743466161445821,0.4694715627858904,-0.8829475928589271
2008-07-14,1,35,23,28,0.0,13,13.6,306,113,45,10,1010,0,28,13,28,16,28,7,5.683333333333334,19.733333333333334,0.0,7,-0.4999999999999997,-0.8660254037844388,14,0.29936312297335804,-0.9541392564000488,0.5877852522924729,-0.8090169943749476
2008-07-15,1,36,24,29,0.0,12,13.6,300,113,51,10,1008,0,29,16,29,15,29,7,5.683333333333334,19.733333333333334,0.0,7,-0.4999999999999997,-0.8660254037844388,15,0.10116832198743272,-0.994869323391895,0.5000000000000001,-0.8660254037844386
2008-07-16,1,36,24,29,0.0,10,13.6,299,113,47,10,1005,0,29,15,29,12,29,7,5.7,19.716666666666665,6.9,7,-0.4999999999999997,-0.8660254037844388,16,-0.10116832198743204,-0.9948693233918952,0.4848096202463373,-0.8746197071393956
2008-07-17,1,37,25,30,0.0,11,13.6,298,113,43,10,1004,0,30,14,30,14,30,7,5.716666666666667,19.716666666666665,13.8,7,-0.4999999999999997,-0.8660254037844388,17,-0.2993631229733582,-0.9541392564000488,0.4694715627858904,-0.8829475928589271
2008-07-18,1,35,22,28,0.0,11,13.6,308,113,53,9,1006,9,29,15,28,13,29,7,5.716666666666667,19.7,20.7,7,-0.4999999999999997,-0.8660254037844388,18,-0.4853019625310808,-0.8743466161445822,0.6156614753256585,-0.7880107536067218
2008-07-19,1,37,23,29,0.0,10,13.6,303,113,45,10,1007,0,29,13,29,12,29,7,5.733333333333333,19.7,27.6,7,-0.4999999999999997,-0.8660254037844388,19,-0.651372482722222,-0.7587581226927911,0.5446390350150266,-0.8386705679454243
2008-07-20,1,36,24,29,0.0,11,13.6,303,113,49,10,1006,0,29,15,29,15,29,7,5.733333333333333,19.683333333333334,34.5,7,-0.4999999999999997,-0.8660254037844388,20,-0.7907757369376986,-0.6121059825476627,0.5446390350150266,-0.8386705679454243
2008-07-21,1,36,24,30,0.0,11,13.6,319,113,40,10,1006,0,29,12,30,14,29,7,5.75,19.683333333333334,41.4,7,-0.4999999999999997,-0.8660254037844388,21,-0.8978045395707417,-0.44039415155763423,0.7547095802227719,-0.6560590289905074
2008-07-22,1,37,24,30,0.0,12,13.6,300,113,35,10,1006,0,30,11,30,16,30,8,5.766666666666667,19.666666666666668,48.3,7,-0.4999999999999997,-0.8660254037844388,22,-0.9680771188662041,-0.2506525322587213,0.5000000000000001,-0.8660254037844386
2008-07-23,1,35,24,29,0.0,13,13.6,294,113,47,10,1006,0,29,15,29,16,29,7,5.766666666666667,19.666666666666668,55.2,7,-0.4999999999999997,-0.8660254037844388,23,-0.9987165071710528,-0.05064916883871355,0.40673664307579976,-0.9135454576426011
2008-07-24,1,35,22,28,0.0,14,13.6,294,113,57,10,1006,2,29,17,28,17,29,7,5.783333333333333,19.65,62.1,7,-0.4999999999999997,-0.8660254037844388,24,-0.9884683243281114,0.15142777750457667,0.40673664307579976,-0.9135454576426011
