date,maxtempC,mintempC,avgtempC,totalprecipMM,windspeedKmph,sunhour,weatherCode,humidity,visibilityKm,pressureMB,cloudcover,DewPointC,WindGustKmph,sunrise,sunset,moon_illumination,month,month_sin,month_cos,day,day_sin,day_cos,wind_cos,wind_sin
2014-09-05,32,23,27,0.0,14,13.6,113,51,10,1007,2,15,17,6.233333333333333,18.933333333333334,41.4,9,-1.0,-1.8369701987210294e-16,5,0.8486442574947509,0.5289640103269624,0.3907311284892735,-0.9205048534524404
2014-09-06,30,20,24,0.0,16,13.6,113,54,10,1008,9,13,19,6.233333333333333,18.9,48.3,9,-1.0,-1.8369701987210294e-16,6,0.9377521321470804,0.3473052528448203,0.3583679495453004,-0.9335804264972016
2014-09-07,30,21,25,0.0,15,13.6,113,52,10,1011,2,13,17,6.25,18.883333333333333,55.2,9,-1.0,-1.8369701987210294e-16,7,0.9884683243281114,0.1514277775045767,0.4848096202463373,-0.8746197071393956
2014-09-08,30,20,24,0.0,14,13.6,113,54,10,1012,3,14,16,6.266666666666667,18.866666666666667,62.1,9,-1.0,-1.8369701987210294e-16,8,0.9987165071710528,-0.0506491688387126,0.5000000000000001,-0.8660254037844386
2014-09-09,30,20,25,0.0,13,13.6,113,54,10,1011,2,14,15,6.266666666666667,18.83333333333333,69.0,9,-1.0,-1.8369701987210294e-16,9,0.9680771188662044,-0.2506525322587204,0.5150380749100542,-0.8571673007021123
2014-09-10,31,20,25,0.0,14,13.6,113,54,10,1011,4,14,16,6.283333333333333,18.816666666666663,75.9,9,-1.0,-1.8369701987210294e-16,10,0.8978045395707416,-0.4403941515576344,0.5150380749100542,-0.8571673007021123
2014-09-11,30,20,25,0.0,14,13.6,113,56,10,1013,7,14,16,6.283333333333333,18.8,82.8,9,-1.0,-1.8369701987210294e-16,11,0.7907757369376989,-0.6121059825476626,0.559192903470747,-0.8290375725550416
2014-09-12,31,20,24,0.0,15,13.6,113,58,10,1013,12,15,18,6.3,18.78333333333333,89.7,9,-1.0,-1.8369701987210294e-16,12,0.6513724827222223,-0.7587581226927909,0.5446390350150266,-0.8386705679454243
2014-09-13,32,21,26,0.09,12,12.1,113,48,10,1011,35,13,15,6.316666666666666,18.75,96.6,9,-1.0,-1.8369701987210294e-16,13,0.485301962531081,-0.8743466161445821,0.4383711467890774,-0.898794046299167
2014-09-14,29,19,23,0.0,16,13.6,113,58,10,1011,7,13,19,6.316666666666666,18.73333333333333,96.6,9,-1.0,-1.8369701987210294e-16,14,0.299363122973358,-0.9541392564000488,0.3907311284892735,-0.9205048534524404
2014-09-15,29,20,24,0.3,17,13.3,113,61,10,1011,30,15,20,6.333333333333333,18.716666666666665,89.7,9,-1.0,-1.8369701987210294e-16,15,0.1011683219874327,-0.994869323391895,0.342020143325669,-0.9396926207859084
2014-09-16,30,20,24,0.0,14,13.6,113,53,10,1011,9,13,17,6.333333333333333,18.683333333333334,82.8,9,-1.0,-1.8369701987210294e-16,16,-0.101168321987432,-0.9948693233918952,0.3255681544571563,-0.945518575599317
2014-09-17,33,23,28,0.0,9,13.6,113,32,10,1009,4,9,12,6.35,18.666666666666668,75.9,9,-1.0,-1.8369701987210294e-16,17,-0.2993631229733582,-0.9541392564000488,-0.0871557427476582,-0.9961946980917455
2014-09-18,31,22,25,0.0,16,13.6,113,53,10,1012,5,14,19,6.366666666666666,18.65,69.0,9,-1.0,-1.8369701987210294e-16,18,-0.4853019625310808,-0.8743466161445822,0.3746065934159119,-0.9271838545667874
2014-09-19,29,19,24,0.0,14,13.6,113,57,10,1014,3,14,17,6.366666666666666,18.616666666666667,62.1,9,-1.0,-1.8369701987210294e-16,19,-0.651372482722222,-0.7587581226927911,0.573576436351046,-0.8191520442889918
2014-09-20,28,18,23,0.0,16,13.6,113,60,10,1013,9,14,19,6.383333333333334,18.6,55.2,9,-1.0,-1.8369701987210294e-16,20,-0.7907757369376986,-0.6121059825476627,0.4383711467890774,-0.898794046299167
2014-09-21,28,19,23,0.0,15,13.6,113,55,10,1012,3,13,18,6.4,18.58333333333333,48.3,9,-1.0,-1.8369701987210294e-16,21,-0.8978045395707417,-0.4403941515576342,0.4848096202463373,-0.8746197071393956
