date,maxtempC,mintempC,avgtempC,totalprecipMM,windspeedKmph,sunhour,weatherCode,humidity,visibilityKm,pressureMB,cloudcover,DewPointC,WindGustKmph,sunrise,sunset,moon_illumination,month,month_sin,month_cos,day,day_sin,day_cos,wind_cos,wind_sin
2008-07-14,40,14,27,0.0,14,13.1,113,40,10,1009,0,9,21,5.833333333333333,19.7,0.0,7,-0.4999999999999997,-0.8660254037844388,14,0.299363122973358,-0.9541392564000488,-0.8480480961564261,-0.5299192642332048
2008-07-15,40,16,27,0.0,18,13.1,113,44,10,1009,0,12,27,5.833333333333333,19.7,0.0,7,-0.4999999999999997,-0.8660254037844388,15,0.1011683219874327,-0.994869323391895,-0.2249510543438652,-0.9743700647852352
2008-07-16,40,15,28,0.0,13,13.1,113,34,10,1006,0,7,19,5.85,19.683333333333334,6.9,7,-0.4999999999999997,-0.8660254037844388,16,-0.101168321987432,-0.9948693233918952,0.9702957262759964,-0.2419218955996678
2008-07-17,42,15,28,0.0,13,13.1,113,34,10,1005,0,7,20,5.85,19.683333333333334,13.8,7,-0.4999999999999997,-0.8660254037844388,17,-0.2993631229733582,-0.9541392564000488,0.4226182617406996,-0.90630778703665
2008-07-18,40,16,27,0.0,14,13.1,113,40,10,1006,0,10,22,5.866666666666667,19.683333333333334,20.7,7,-0.4999999999999997,-0.8660254037844388,18,-0.4853019625310808,-0.8743466161445822,0.9612616959383188,-0.2756373558169989
2008-07-19,42,17,28,0.0,14,13.1,113,37,10,1007,0,9,22,5.883333333333333,19.666666666666668,27.6,7,-0.4999999999999997,-0.8660254037844388,19,-0.651372482722222,-0.7587581226927911,-0.2249510543438652,-0.9743700647852352
2008-07-20,42,17,28,0.0,14,13.1,113,38,10,1006,0,9,22,5.883333333333333,19.666666666666668,34.5,7,-0.4999999999999997,-0.8660254037844388,20,-0.7907757369376986,-0.6121059825476627,0.9455185755993168,-0.3255681544571567
2008-07-21,42,16,29,0.0,12,13.1,113,40,10,1006,0,10,18,5.9,19.65,41.4,7,-0.4999999999999997,-0.8660254037844388,21,-0.8978045395707417,-0.4403941515576342,-0.8746197071393959,-0.4848096202463369
2008-07-22,42,16,30,0.0,11,13.1,113,28,10,1006,0,6,17,5.9,19.65,48.3,7,-0.4999999999999997,-0.8660254037844388,22,-0.968077118866204,-0.2506525322587213,0.4226182617406996,-0.90630778703665
2008-07-23,40,15,27,0.0,13,13.1,113,36,10,1006,0,8,20,5.916666666666667,19.633333333333333,55.2,7,-0.4999999999999997,-0.8660254037844388,23,-0.9987165071710528,-0.0506491688387135,0.4383711467890774,-0.898794046299167
