date,maxtempC,mintempC,avgtempC,totalprecipMM,windspeedKmph,sunhour,weatherCode,humidity,visibilityKm,pressureMB,cloudcover,DewPointC,WindGustKmph,sunrise,sunset,moon_illumination,month,month_sin,month_cos,day,day_sin,day_cos,wind_cos,wind_sin
2008-08-01,36,21,29,0.0,9,13.6,113,56,9,1006,3,17,11,5.85,19.58333333333333,82.8,8,-0.8660254037844384,-0.5000000000000004,1,0.20129852008866,0.9795299412524944,-0.1218693434051471,-0.992546151641322
2008-08-02,35,22,29,0.0,10,13.6,113,53,10,1007,0,16,12,5.866666666666667,19.566666666666663,75.9,8,-0.8660254037844384,-0.5000000000000004,2,0.3943558551133185,0.9189578116202306,-0.0174524064372834,-0.9998476951563912
2008-08-03,35,21,28,0.0,9,13.6,113,55,10,1006,0,16,11,5.866666666666667,19.55,69.0,8,-0.8660254037844384,-0.5000000000000004,3,0.5712682150947923,0.8207634412072763,0.2249510543438649,-0.9743700647852352
2008-08-04,34,20,27,0.0,10,13.6,113,58,10,1005,3,16,13,5.883333333333333,19.53333333333333,62.1,8,-0.8660254037844384,-0.5000000000000004,4,0.7247927872291199,0.6889669190756866,0.4383711467890774,-0.898794046299167
2008-08-05,34,20,26,0.1,11,13.6,113,66,8,1005,26,18,13,5.9,19.516666666666666,55.2,8,-0.8660254037844384,-0.5000000000000004,5,0.8486442574947509,0.5289640103269624,-0.0348994967025007,-0.9993908270190958
2008-08-06,34,21,27,0.0,9,13.6,113,59,9,1004,1,17,11,5.9,19.5,48.3,8,-0.8660254037844384,-0.5000000000000004,6,0.9377521321470804,0.3473052528448203,0.2756373558169994,-0.9612616959383188
2008-08-07,34,21,28,0.0,10,13.6,113,56,10,1003,1,16,12,5.916666666666667,19.48333333333333,41.4,8,-0.8660254037844384,-0.5000000000000004,7,0.9884683243281114,0.1514277775045767,-0.1218693434051471,-0.992546151641322
2008-08-08,35,21,28,0.0,9,13.6,113,55,10,1003,2,17,12,5.933333333333334,19.48333333333333,34.5,8,-0.8660254037844384,-0.5000000000000004,8,0.9987165071710528,-0.0506491688387126,-0.1391731009600658,-0.9902680687415704
2008-08-09,35,22,28,0.0,10,13.6,113,59,10,1004,2,18,12,5.933333333333334,19.466666666666665,27.6,8,-0.8660254037844384,-0.5000000000000004,9,0.9680771188662044,-0.2506525322587204,-0.2419218955996677,-0.9702957262759964
2008-08-10,35,20,27,0.0,10,13.6,113,60,9,1004,2,17,12,5.95,19.45,20.7,8,-0.8660254037844384,-0.5000000000000004,10,0.8978045395707416,-0.4403941515576344,0.1391731009600654,-0.9902680687415704
2008-08-11,36,21,28,0.0,10,13.6,113,56,10,1004,1,17,11,5.966666666666667,19.433333333333334,13.8,8,-0.8660254037844384,-0.5000000000000004,11,0.7907757369376989,-0.6121059825476626,-0.3090169943749475,-0.9510565162951536
2008-08-12,35,22,28,0.0,10,13.6,113,54,10,1005,1,16,12,5.966666666666667,19.416666666666668,6.9,8,-0.8660254037844384,-0.5000000000000004,12,0.6513724827222223,-0.7587581226927909,0.1391731009600654,-0.9902680687415704
2008-08-13,32,18,25,0.0,10,13.6,113,65,8,1006,25,17,12,5.983333333333333,19.4,0.0,8,-0.8660254037844384,-0.5000000000000004,13,0.485301962531081,-0.8743466161445821,0.1908089953765451,-0.981627183447664
2008-08-14,33,17,26,0.0,10,13.6,113,67,8,1005,14,18,12,6.0,19.366666666666667,0.0,8,-0.8660254037844384,-0.5000000000000004,14,0.299363122973358,-0.9541392564000488,-1.8369701987210294e-16,-1.0
2008-08-15,35,19,27,0.0,9,13.6,113,63,9,1003,15,18,12,6.0,19.35,6.9,8,-0.8660254037844384,-0.5000000000000004,15,0.1011683219874327,-0.994869323391895,-0.3746065934159123,-0.9271838545667872
2008-08-16,36,22,29,0.0,8,13.6,113,52,10,1004,1,15,10,6.016666666666667,19.33333333333333,13.8,8,-0.8660254037844384,-0.5000000000000004,16,-0.101168321987432,-0.9948693233918952,-0.8910065241883679,-0.4539904997395467
2008-08-17,37,22,30,0.0,9,13.6,113,41,10,1006,0,13,12,6.033333333333333,19.316666666666663,20.7,8,-0.8660254037844384,-0.5000000000000004,17,-0.2993631229733582,-0.9541392564000488,-0.8829475928589269,-0.4694715627858908
2008-08-18,40,23,32,0.0,10,13.6,113,36,10,1007,0,12,13,6.033333333333333,19.3,27.6,8,-0.8660254037844384,-0.5000000000000004,18,-0.4853019625310808,-0.8743466161445822,-0.529919264233205,-0.848048096156426
2008-08-19,39,25,31,0.0,10,13.6,113,41,10,1005,1,14,13,6.05,19.28333333333333,34.5,8,-0.8660254037844384,-0.5000000000000004,19,-0.651372482722222,-0.7587581226927911,0.6691306063588578,-0.7431448254773946
2008-08-20,39,23,30,0.0,10,13.6,113,48,10,1005,4,16,12,6.066666666666666,19.266666666666666,41.4,8,-0.8660254037844384,-0.5000000000000004,20,-0.7907757369376986,-0.6121059825476627,0.1564344650402306,-0.9876883405951378
2008-08-21,35,23,27,0.0,12,13.6,113,72,10,1006,10,21,14,6.066666666666666,19.25,48.3,8,-0.8660254037844384,-0.5000000000000004,21,-0.8978045395707417,-0.4403941515576342,0.0523359562429439,-0.9986295347545738
2008-08-22,34,22,27,0.3,10,13.3,113,68,7,1006,32,20,12,6.083333333333333,19.216666666666665,55.2,8,-0.8660254037844384,-0.5000000000000004,22,-0.968077118866204,-0.2506525322587213,-0.2079116908177598,-0.9781476007338056
2008-08-23,34,20,27,0.0,10,13.6,113,64,9,1005,14,19,12,6.1,19.2,62.1,8,-0.8660254037844384,-0.5000000000000004,23,-0.9987165071710528,-0.0506491688387135,-0.4067366430758001,-0.913545457642601
2008-08-24,35,23,29,0.0,8,13.6,113,61,10,1006,2,19,10,6.1,19.183333333333334,69.0,8,-0.8660254037844384,-0.5000000000000004,24,-0.9884683243281114,0.1514277775045766,-0.7193398003386511,-0.6946583704589974
2008-08-25,37,24,30,0.0,8,13.6,113,54,9,1009,2,17,9,6.116666666666666,19.166666666666668,75.9,8,-0.8660254037844384,-0.5000000000000004,25,-0.9377521321470804,0.3473052528448203,-0.9986295347545738,-0.0523359562429435
2008-08-26,39,25,32,0.0,9,13.6,113,38,10,1009,0,14,12,6.133333333333334,19.15,82.8,8,-0.8660254037844384,-0.5000000000000004,26,-0.848644257494751,0.5289640103269624,-0.8746197071393959,-0.4848096202463369
2008-08-27,40,25,32,0.0,9,13.6,113,41,10,1007,6,15,12,6.133333333333334,19.116666666666667,89.7,8,-0.8660254037844384,-0.5000000000000004,27,-0.72479278722912,0.6889669190756865,-1.8369701987210294e-16,-1.0
2008-08-28,40,22,31,0.0,9,13.6,113,48,10,1007,21,16,12,6.15,19.1,96.6,8,-0.8660254037844384,-0.5000000000000004,28,-0.5712682150947924,0.8207634412072763,-1.8369701987210294e-16,-1.0
2008-08-29,38,26,31,0.0,9,13.6,113,45,10,1008,16,16,11,6.15,19.08333333333333,96.6,8,-0.8660254037844384,-0.5000000000000004,29,-0.3943558551133187,0.9189578116202306,0.5446390350150266,-0.8386705679454243
2008-08-30,38,24,30,0.0,8,13.6,113,51,10,1008,1,17,10,6.166666666666667,19.066666666666663,89.7,8,-0.8660254037844384,-0.5000000000000004,30,-0.2012985200886611,0.9795299412524944,0.2923717047227367,-0.9563047559630354
2008-08-31,37,22,30,0.0,9,13.6,113,58,10,1008,2,18,11,6.183333333333334,19.03333333333333,82.8,8,-0.8660254037844384,-0.5000000000000004,31,-2.4492935982947064e-16,1.0,-0.7071067811865477,-0.7071067811865475
2008-09-01,37,23,29,0.0,8,13.6,113,58,10,1009,1,19,10,6.183333333333334,19.016666666666666,69.0,9,-1.0,-1.8369701987210294e-16,1,0.20129852008866,0.9795299412524944,0.3255681544571563,-0.945518575599317
